,Food Code,Food Name,water(g),protein(g),TotalFat(g),TotalFibre(g),Carbohydrate(g),Energy(kJ),VitaminB1(mg),VitaminB2(mg),VitaminB3(g),VitaminB5(mg),VitaminB6(mg),VitaminB7(ug),VitaminB9(ug),Arsenic(ug),Calcium(mg),Cobalt(mg),Copper(mg),Iron(mg),Lead(mg),Magnesium(mg),Mercury(ug),Phophorus(mg),Potassium(mg),Sodium(mg),Zinc(mg),TotalStarch(g),Fructose(g),Glucose(g),Sucrose(g),TotalFreeSugars(g)
,M005,"Egg, poultry, white, boiled",83.54±0.18,12.37±0.16,0.26±0.02,,,220±3,0.02±0.01,0.18±0.01,0.01±0.00,0.18±0.00,4.37±0.27,,4.10±0.21,,8.07±0.03,,0.05±0.01,0.15±0.05,,11.62±0.57,,23±3.3,147±15.0,144±15.3,0.09±0.03,,,,,
,M006,"Egg, poultry, yolk, boiled",51.42±0.22,16.13±0.45,27.46±0.24,,,1290±8,0.17±0.01,0.15±0.01,0.45±0.02,2.57±0.10,0.27±0.02,58.43±6.73,110±6.1,,120±2.2,,0.13±0.00,4.92±0.33,,15.52±2.19,,586±2.9,106±7.7,44.83±2.04,3.59±0.20,,,,,
,M007,"Egg, poultry, omlet",68.48±0.13,16.53±0.43,11.60±0.22,,,710±4,0.11±0.02,0.20±0.00,0.33±0.01,2.06±0.04,0.14±0.01,17.13±2.25,37.66±1.03,,53.26±4.25,,0.15±0.09,2.16±0.39,,14.84±0.34,,222±30.3,163±10.6,169±19.9,1.31±0.13,,,,,
,M008,"Egg, country hen, whole, raw",72.96,13.14,13,,,704,0.14,0.08,0.14,1.03,0.18,19.35,54.6,,50.14,,0.06,1.64,,11,,198,117,157,1.12,,,,,
,M009,"Egg, country hen, whole, boiled",70.43,14.43,14.1,,,767,0.11,0.08,0.12,0.96,0.18,20.15,59.98,,57.79,,0.09,1.73,,11,,206,120,149,1.25,,,,,
,M010,"Egg, country hen, omlet",67.8,14.8,16.3,,,855,0.14,0.07,0.14,0.94,0.18,18.55,58.79,,55.88,,0.17,2.15,,13,,243,151,157,1.26,,,,,
,M011,"Egg, duck, whole, boiled",71.61,13.8,13.61,,,738,0.21,0.07,0.18,1.14,0.15,13.87,73.32,,56.12,,0.12,2.61,,12,,263,221,110,1.58,,,,,
,M012,"Egg, duck, whole, raw",70.53,14.6,13.83,,,760,0.18,0.07,0.13,0.51,0.15,14.52,75.48,,52.46,,0.11,2.46,,12,,247,228,113,1.49,,,,,
,M013,"Egg, duck, whole, omlet",68.9,15.1,14.8,,,804,0.31,0.09,0.14,1.05,0.15,13.81,67.95,,71.79,,0.17,3.28,,15,,309,154,175,1.89,,,,,
,M014,"Egg, quial, whole, raw",75.11,12.39,11.46,,,635,0.15,0.11,0.12,0.93,0.17,18.82,54.86,,60.67,,0.09,2.55,,11,,236,119,132,1.51,,,,,
,M015,"Egg, quial, whole, boiled",74.41,13.03,11.5,,,647,0.11,0.08,0.15,0.81,0.15,16.53,51.72,,61.35,,0.13,2.63,,12,,237,115,130,1.55,,,,,
N POULTRY,N001,"Chicken, poultry, leg, skinless",67.61±0.30,19.44±0.79,12.64±0.53,,,1605±23,0.17±0.04,0.13±0.02,5.60±0.96,1.28±0.24,0.33±0.01,4.58±0.71,7.47±0.19,,20.52±0.33,,0.25±0.11,1.27±0.23,0.002±0.000,23.82±1.59,,199±13.7,283±28.5,65.07±13.68,1.77±0.14,,,,,
,N002,"Chicken, poultry, thigh, skinless",67.58±0.46,18.18±0.57,14.23±0.84,,,836±38,0.13±0.01,0.10±0.01,5.62±1.05,1.06±0.46,0.38±0.07,3.86±0.74,9.00±0.62,,18.37±0.39,,0.23±0.20,1.11±0.16,,22.55±0.64,,186±12.6,263±33.7,64.59±14.32,1.42±0.07,,,,,
,N003,"Chicken, poultry, breast, skinless",67.15±0.18,21.81±0.81,9.00±0.52,,,704±24,0.10±0.04,0.06±0.01,8.06±0.87,1.15±0.18,0.53±0.05,4.11±0.49,10.44±0.55,,12.91±3.41,,0.27±0.23,0.83±0.16,,20.20±0.14,,178±0.5,295±15.6,36.70±3.29,0.78±0.30,,,,,
,N004,"Chicken, poultry, wing, skinless",67.48±0.21,17.42±0.60,13.81±0.26,,,807±17,0.08±0.02,0.07±0.01,6.66±1.00,1.28±0.14,0.39±0.06,3.61±0.55,7.87±0.45,,28.13±3.66,,0.43±0.29,1.38±0.29,,22.81±0.71,,189±12.7,185±5.8,72.78±9.61,1.48±0.23,,,,,
,N005,"Poultry, chicken, liver",73.2,21.57,4.08,,,518,0.28,0.2,4.44,6.39,0.92,4.07,1032,,4.1,,0.29,9.92,,16,,244,241,61.58,2.65,,,,,
,N006,"Poultry, chicken, gizzard",78.05,18.22,2.07,,,386,0.01,0.11,2.87,0.7,0.14,5.12,8.72,,5.46,,0.2,3.19,,14,,119,244,50.6,2.65,,,,,
,N007,"Country hen, leg, with skin",70.02,17.01,11.73,,,723,0.17,0.1,2.44,0.73,0.36,4.6,8.1,,22.56,,0.22,1.66,,25,,250,357,50.46,2.71,,,,,
,N008,"Country hen, thigh, with skin",67.46,18.29,12.82,,,785,0.11,0.13,3.62,0.89,0.42,2.91,10.42,,20.12,,0.4,1.4,,24,,232,330,51.14,2.16,,,,,
,N009,"Country hen, breast, with skin",66.53,22.08,10.2,,,753,0.11,0.04,5.62,0.81,0.59,3.06,12.98,,12.49,,0.13,1.09,,22,,222,365,23.13,0.78,,,,,
,N010,"Country hen, wing, with skin",68.01,18.65,12.09,,,764,0.07,0.03,3.19,0.85,0.43,5.13,9.19,,35.46,,0.15,1.45,,25,,235,249,54.15,1.64,,,,,
,N011,"Duck, meat, with skin",73.49,19.07,6.03,,,547,0.22,0.13,2.24,0.74,0.31,4.27,27.98,,22.77,,1,4.26,,26,,237,273,82.25,2.92,,,,,
,N012,"Emu, meat, skinless",71.65,22.65,4.62,,,556,0.1,0.17,3.26,2.21,0.35,NA,7.07,,7.4,,0.65,3.95,,25,,243,275,48.48,2.91,,,,,
,N013,"Guinea fowl, meat, with skin",75.21,20.52,3.24,,,469,0.02,0.18,3.64,0.71,0.58,NA,5.69,,30.77,,0.17,2.2,,21,,187,240,57.64,1.48,,,,,
,N014,"Pigeon, meat, with skin",74.61,17.94,6.03,,,528,0.18,0.39,3.45,0.79,0.48,NA,8.41,,18.11,,0.1,3.81,,29,,255,346,56.1,2.48,,,,,
,N015,"Quail, meat, skinless",71.58,20.92,5.95,,,576,0.05,0.24,4.69,0.81,0.56,NA,9.33,,20.6,,0.2,1.9,,31,,300,333,56.21,1.13,,,,,
,N016,"Turkey, leg, with skin",69.24,20.3,8.15,,,647,0.05,0.11,4.92,1.59,0.48,NA,8.55,,20.44,,0.53,2.01,,26,,236,308,66.47,3.35,,,,,
,N017,"Turkey, thigh, with skin",72.17,20.46,6.31,,,581,0.04,0.12,1.94,1.54,0.51,NA,10.91,,23.52,,0.47,1.58,,23,,194,280,50.01,2.95,,,,,
,N018,"Turkey, breast, with skin",68.44,21.96,8.04,,,671,0.06,0.1,4.49,1.53,0.56,NA,14.67,,14.35,,0.1,1.01,,22,,182,315,40.45,1.28,,,,,
,N019,"Turkey, wing, with skin",66.16,21.91,10.77,,,771,0.03,0.09,4.38,1.36,0.45,NA,10.41,,33.49,,0.2,1,,24,,199,262,57,1.68,,,,,
O ANIMAL MEAT,O001,"Goat, shoulder",66.39±0.40,20.33±0.50,11.94±0.78,,,787±33,0.07±0.01,0.17±0.01,5.14±0.56,1.07±0.10,0.26±0.03,2.08±0.44,,0.71±0.32,6.18±1.58,,0.11±0.07,1.48±0.34,0.003±0.001,21.39±1.54,0.25±0.30,189±11.6,332±46.8,47.31±8.90,4.19±0.54,,,,,
,O002,"Goat, chops",72.46±1.10,20.39±0.83,5.98±0.37,,,568±26,0.05±0.01,0.13±0.01,5.51±0.57,0.98±0.09,0.30±0.02,1.53±0.10,,0.76±0.41,7.44±0.28,0.001±0.000,0.07±0.01,1.87±0.44,0.002±0.000,21.13±2.10,0.19±0.13,195±11.7,334±43.9,45.72±6.21,4.55±1.05,,,,,
,O003,"Goat, legs",68.85±0.86,22.07±0.63,7.94±0.62,,,669±26,0.07±0.01,0.15±0.04,5.15±0.36,0.99±0.04,0.31±0.02,2.25±0.59,,1.20±0.69,5.76±0.97,,0.08±0.02,1.77±0.48,0.003±0.001,21.71±1.72,0.01±0.01,187±14.2,339±25.5,42.77±5.74,3.52±0.43,,,,,
,O004,"Goat, brain",76.74±1.02,13.82±0.80,8.06±0.46,,,533±23,0.13±0.02,0.17±0.02,2.04±0.19,1.52±0.42,0.28±0.04,1.30±0.18,,0.56±0.20,10.61±0.24,,0.30±0.06,1.63±0.35,0.003±0.001,13.94±0.67,0.03±0.02,296±21.2,296±15.6,132±38.4,1.08±0.09,,,,,
,O005,"Goat, tongue",68.40±1.00,16.63±0.54,13.68±1.09,,,789±39,0.14±0.00,0.22±0.03,3.04±0.24,0.88±0.06,0.17±0.04,2.54±0.18,,0.57±0.18,7.11±0.14,,0.16±0.03,2.09±0.42,0.003±0.002,19.39±2.23,0.20±0.19,212±15.9,223±37.3,118±35.1,2.44±0.11,,,,,
,O006,"Goat, lungs",79.03±1.20,16.86±0.71,3.09±0.56,,,401±32,0.08±0.01,0.32±0.02,2.79±0.15,0.83±0.11,0.14±0.03,1.80±0.44,,1.18±0.35,10.44±2.48,0.001±0.000,0.22±0.01,7.10±1.77,0.002±0.000,11.48±1.33,0.07±0.03,209±8.5,180±19.4,85.72±22.56,1.70±0.32,,,,,
,O007,"Goat, heart",75.15±1.23,19.38±0.80,4.40±0.71,,,492±33,0.36±0.02,0.33±0.05,5.97±0.25,1.72±0.20,0.23±0.08,1.63±0.38,,0.93±0.21,5.71±1.43,,0.34±0.04,3.38±0.54,0.002±0.000,18±2.32,0.04±0.03,174±21.0,224±26.8,73.21±10.98,1.45±0.16,,,,,
,O008,"Goat, liver",73.37±1.16,20.32±0.92,4.88±0.73,,,526±31,0.20±0.04,0.37±0.04,12.88±0.44,7.01±0.11,0.65±0.27,178±34.9,,1.49±0.49,6.09±2.31,0.006±0.002,3.70±1.67,6.56±0.34,0.004±0.002,18±1.34,0.44±0.79,336±45.5,284±48.8,55.41±14.75,3.48±1.32,,,,,
,O009,"Goat, tripe",80.94±0.84,15.36±0.50,3.36±0.29,,,386±19,0.02±0.01,0.10±0.01,0.81±0.14,0.21±0.03,0.20±0.05,2.36±0.30,,0.18±0.23,20.87±6.81,,0.07±0.02,0.81±0.23,0.003±0.001,13±2.07,0.15±0.07,59.2±21.2,45±28.7,22.38±5.45,1.66±0.40,,,,,
,O010,"Goat, spleen",77.93±0.50,18.45±0.15,2.37±0.36,,,401±14,0.06±0.01,0.16±0.02,5.20±0.39,6.58±0.12,0.33±0.07,3.30±0.36,,1.18±0.39,8.35±0.44,0.001±0.001,0.13±0.02,51.41±17.21,0.004±0.002,15.3±2.76,0.05±0.01,266±7.3,368±17.1,52.40±8.62,1.95±0.19,,,,,
,O011,"Goat, kidneys",80.26±1.07,15.60±1.15,2.93±0.18,,,374±18,0.34±0.03,0.34±0.05,5.50±0.17,6.54±0.34,0.40±0.07,68.76±2.10,,1.44±0.87,12.37±4.51,0.003±0.001,0.25±0.03,6.73±0.13,0.001±0.000,18.6±2.65,0.38±0.11,220±8.1,195±43.7,184±21.3,1.73±0.07,,,,,
,O012,"Goat, tube (small intestine)",78.12±0.63,12.92±0.54,8.26±1.08,,,525±32,0.01±0.00,0.11±0.01,0.64±0.14,0.53±0.13,0.21±0.05,1.87±0.10,,2.05±0.91,27.52±1.44,0.001±0.000,0.06±0.03,2.21±0.97,0.001±0.000,7.14±1.99,0.05±0.03,55.9±16.5,130±5.4,7.46±2.01,1.12±0.55,,,,,
,O013,"Goat, testis",84.29,12.32,2.39,,,298,0.15,0.11,1.72,1.58,0.24,2.01,,0.65,5.95,0.001,0.08,1.43,0.007,13.66,0.64,186,253,92.61,1.19,,,,,
,O014,"Sheep, shoulder",66.51±2.51,18.24±1.41,14.31±1.37,,,840±68,0.05±0.01,0.18±0.03,4.53±0.41,0.96±0.10,0.15±0.04,3.16±0.17,,1.18±0.52,5.46±2.05,0.001±0.000,0.07±0.04,1.63±0.62,0.003±0.001,21.31±3.01,0.07±0.03,195±24.9,336±61.6,45.65±11.25,3.69±0.53,,,,,
,O015,"Sheep, chops",75.66±2.78,18.00±1.22,5.15±2.05,,,496±86,0.07±0.01,0.16±0.03,4.94±0.15,1.01±0.10,0.18±0.02,1.61±0.24,,0.69±0.39,7.98±1.94,0.001±0.001,0.08±0.02,2.24±0.33,0.003±0.001,21.42±2.22,0.13±0.01,191±20.0,323±49.9,45.26±10.93,3.46±0.71,,,,,
,O016,"Sheep, leg",68.26±1.01,21.42±0.43,8.69±0.74,,,686±25,0.08±0.02,0.16±0.02,5.25±0.32,1.04±0.11,0.24±0.04,1.81±0.25,,0.70±0.26,6.87±1.88,,0.09±0.01,1.54±0.15,0.001±0.001,22.22±1.50,0.02±0.02,187±9.2,333±22.2,49.30±9.48,2.67±0.56,,,,,
,O017,"Sheep, brain",78.36,13.05,7.29,,,492,0.12,0.21,2.66,1.73,0.33,1.86,,0.73,10.27,,0.28,1.93,0.002,14.08,0.02,271,312,122,1.11,,,,,
,O018,"Sheep, tongue",68.7,16.61,13.53,,,783,0.15,0.2,2.78,0.35,0.16,2.4,,0.34,8.05,,0.17,2.46,0.001,24.53,0.45,207,220,185,2.46,,,,,
,O019,"Sheep, lungs",80.41,16.12,2.41,,,363,0.07,0.23,2.75,0.88,0.02,13.89,,1.85,7.74,0.003,0.41,8.58,0.001,11.68,0.07,187,204,109,1.58,,,,,
,O020,"Sheep, heart",77.06,18.19,3.66,,,445,0.34,0.3,5.43,1.66,0.3,2.17,,6.04,6.79,0.001,0.29,3.07,,15.19,0.03,163,225,72.62,1.31,,,,,
,O021,"Sheep, liver",69.71±1.12,22.26±1.46,4.87±0.12,,,559±21,0.17±0.04,0.35±0.02,15.66±0.44,6.95±0.18,0.26±0.05,206±26.8,,1.66±0.51,5.92±0.44,0.007±0.002,5.70±1.99,6.15±1.70,0.007±0.001,17.91±2.26,0.16±0.15,334±55.6,280±53.8,55.82±12.86,3.73±1.05,,,,,
,O022,"Sheep, tripe",78.81,16.76,4.05,,,435,0.02,0.08,0.63,0.2,0.22,1.87,,0.1,14.85,,0.06,0.9,0.002,17.81,0.19,55.61,48.75,18.37,1.89,,,,,
,O023,"Sheep, spleen",79.66,16.02,3.02,,,384,0.07,0.23,5.42,6.07,0.27,3.19,,0.92,11.49,0.001,0.16,53.11,0.009,17.23,0.04,266,327,50.58,1.71,,,,,
,O024,"Sheep, kidneys",79.77,16.22,2.92,,,384,0.35,0.31,5.51,6.22,0.51,46.21,,2.1,14.15,0.009,0.38,6.11,0.006,17.46,0.61,204,198,163,1.92,,,,,
,O025,"Beef, shoulder",63.84±0.59,20.56±1.32,14.59±0.86,,,889±12,0.03±0.01,0.12±0.02,5.18±0.21,1.14±0.09,0.48±0.04,8.06±1.30,,0.76±0.26,6.50±1.85,,0.07±0.04,2.22±0.56,0.003±0.001,22.24±3.28,0.10±0.07,201±25.2,367±56.0,45.59±12.45,4.64±0.38,,,,,
,O026,"Beef, chops",72.40±0.34,19.82±0.43,6.71±0.45,,,585±13,0.02±0.01,0.06±0.01,4.36±0.17,1.27±0.08,0.34±0.03,5.69±0.82,,1.40±0.41,4.64±1.64,,0.04±0.02,1.95±0.46,0.002±0.000,24.72±4.70,0.24±0.39,209±42.2,383±73.0,32.47±4.39,3.77±1.08,,,,,
,O027,"Beef, round (leg)",68.04±1.36,22.64±1.03,7.38±0.71,,,658±37,0.04±0.01,0.06±0.01,6.30±0.26,0.84±0.12,0.44±0.11,2.11±0.28,,1.08±0.29,5.86±1.13,,0.06±0.01,2.30±0.96,0.003±0.001,26.59±2.36,0.02±0.01,215±20.0,366±3.8,38.96±8.25,3.36±0.52,,,,,
,O028,"Beef, brain",78.71±1.43,10.55±0.50,9.28±0.92,,,523±42,0.12±0.01,0.13±0.01,1.91±0.48,1.76±0.09,0.25±0.01,5.39±2.10,,0.85±0.15,11.38±0.39,,0.29±0.06,2.15±0.42,0.003±0.001,15.84±2.93,0.04±0.01,326±34.2,320±59.0,127±25.4,1.18±0.19,,,,,
,O029,"Beef, tongue",70.97±1.20,15.63±0.67,12.57±0.63,,,731±32,0.05±0.01,0.13±0.01,2.93±0.05,0.72±0.03,0.19±0.04,10.81±1.33,,1.04±0.27,9.49±0.28,,0.13±0.03,2.17±0.70,0.003±0.001,22.82±7.66,0.11±0.07,220±61.6,260±57.4,89.88±20.41,3.31±0.35,,,,,
,O030,"Beef, lungs",80.83±0.18,15.66±0.42,2.28±0.21,,,351±1,0.09±0.01,0.12±0.02,3.13±0.05,0.85±0.06,0.23±0.01,6.98±0.78,,2.06±0.57,9.31±0.87,0.002±0.001,0.20±0.12,6.85±1.65,0.006±0.002,11.60±1.19,0.07±0.02,172±15.0,216±37.2,109±14.5,1.52±0.20,,,,,
,O031,"Beef, heart",77.77±0.72,17.68±0.51,3.57±0.46,,,433±20,0.24±0.04,0.30±0.05,5.38±0.45,1.55±0.06,0.25±0.07,8.50±1.25,,1.39±0.32,6.16±1.43,0.002±0.002,0.37±0.08,3.62±0.29,0.004±0.001,15.66±8.91,0.09±0.07,181±16.0,258±69.1,70.52±13.92,1.50±0.22,,,,,
,O032,"Beef, liver",74.15±1.31,20.73±0.96,3.96±0.45,,,499±30,0.17±0.03,0.34±0.05,14.01±0.44,9.32±0.03,0.30±0.05,1744±71.2,,2.60±0.33,5.46±0.44,0.004±0.003,1.23±1.40,14.82±2.65,0.007±0.002,18.57±2.85,0.46±0.25,332±61.4,289±58.2,50.14±3.83,4.36±1.97,,,,,
,O033,"Beef, tripe",83.74±0.62,13.10±0.29,2.51±0.74,,,316±25,0.03±0.01,0.08±0.03,1.31±0.12,1.09±0.09,0.23±0.07,1.45±0.19,,0.61±0.43,15.30±2.91,0.001±0.001,0.04±0.02,0.84±0.12,0.002±0.000,9.33±2.12,0.08±0.03,60.17±9.2,143±61.1,41.00±11.13,2.02±0.36,,,,,
,O034,"Beef, spleen",79.03±0.73,17.42±0.55,2.22±0.24,,,378±16,0.31±0.02,0.25±0.03,7.45±0.43,7.30±0.21,0.26±0.03,3.40±0.88,,1.80±0.56,9.40±0.24,0.001±0.000,0.09±0.01,31.68±4.50,0.003±0.001,15.80±1.25,0.11±0.04,252±24.2,348±32.4,58.94±5.92,2.01±0.16,,,,,
,O035,"Beef, kidneys",77.59±0.66,17.09±0.30,4.01±0.36,,,439±17,0.26±0.04,0.27±0.05,6.52±0.25,2.05±0.18,0.22±0.02,53.68±4.93,,2.37±0.54,15.31±0.44,0.002±0.002,0.21±0.09,4.71±1.89,0.481±0.827,14.70±6.6.8,0.78±0.18,180±16.5,184±80.9,160±31.1,1.40±0.49,,,,,
,O036,"Calf, shoulder",70.49,20.98,7.47,,,633,0.1,0.2,6.11,0.98,0.5,9.25,,0.7,8.39,,0.05,1.31,0.001,22.71,0.07,197,369,77,3.31,,,,,
,O037,"Calf, chops",72.66,22.47,3.85,,,524,0.07,0.17,5.11,0.94,0.37,2.13,,0.27,9.27,,0.07,1.2,0.004,20.77,0.13,195,366,64.94,3.29,,,,,
,O038,"Calf, round (leg)",71.13,21.1,6.92,,,615,0.03,0.17,5.97,0.87,0.41,7.81,,0.93,10.03,,0.08,2.4,,22.28,0.05,185,356,67.04,2.64,,,,,
,O039,"Calf, brain",81.19,9.84,7.6,,,448,0.07,0.19,3.19,1.61,0.3,1.5,,0.71,10.53,,0.24,1.44,0.002,14.29,0.03,296,306,115,1.11,,,,,
,O040,"Calf, tongue",69.44,17.78,11.76,,,737,0.11,0.22,4.31,0.79,0.17,5.2,,0.93,9.08,,0.14,2.63,,15.38,0.07,178,238,91.64,2.67,,,,,
,O041,"Calf, heart",73.44,18.84,3.75,,,459,0.26,0.29,5.3,2.29,0.41,9.41,,0.6,6.48,0.001,0.28,4.66,,18.21,0.05,185,224,58,1.63,,,,,
,O042,"Calf, liver",73.66,21.02,3.95,,,503,0.17,0.31,12.98,8.95,0.59,1473,,3.47,5.19,0.013,1.04,16.26,,19.16,0.8,358,307,54.99,3.8,,,,,
,O043,"Calf, spleen",78.65,17.71,2.12,,,379,0.09,0.28,7.61,6.83,0.44,3.58,,0.45,10.56,0.001,0.19,25.42,0.006,18.95,0.11,274,372,67.87,2.02,,,,,
,O044,"Calf, kidneys",80.23,15.16,3.5,,,387,0.32,0.35,4.16,2.49,0.3,33.48,,1.42,12.63,0.002,0.21,4.92,0.003,17.35,1.33,204,206,174,1.58,,,,,
,O045,"Mithun, shoulder",68.86,19.05,11.14,,,736,0.04,0.06,6.29,1.31,0.37,1.86,,1.4,4.27,,0.08,2.05,0.003,18.86,0.08,199,307,32.94,6.11,,,,,
,O046,"Mithun, chops",73.81,18.19,6.12,,,536,0.2,0.18,4.76,1.62,0.34,1.9,,0.62,4.88,,0.09,2.25,0.006,18.2,,178,222,42.17,6.08,,,,,
,O047,"Mithun, round (leg)",72.25,19.61,4.1,,,485,0.02,0.05,5.3,1.36,0.29,1.86,,0.63,5.32,0.001,0.09,2.18,0.004,22.23,,190,338,28.42,3.47,,,,,
,O048,"Pork, shoulder",62.92±0.74,17.41±0.71,18.83±0.88,,,993±28,0.18±0.01,0.10±0.02,4.22±0.43,0.86±0.06,0.41±0.08,6.70±1.09,,1.53±0.89,9.95±5.13,,0.23±0.17,0.91±0.23,0.005±0.000,15.01±4.36,0.15±0.10,157±36.8,234±33.1,54.47±16.10,2.08±0.66,,,,,
,O049,"Pork, chops",68.40±1.25,19.41±0.68,11.30±1.33,,,748±51,0.30±0.02,0.11±0.02,4.49±0.30,0.72±0.13,0.36±0.10,7.74±1.03,,0.85±0.38,8.12±0.81,,0.22±0.13,1.00±0.20,0.003±0.001,11.62±1.58,0.23±0.05,143±0.3,243±0.7,43.70±11.05,1.34±0.46,,,,,
,O050,"Pork, ham",61.94±0.39,18.83±0.59,18.55±0.78,,,1006±20,0.24±0.02,0.10±0.01,4.59±0.68,0.79±0.06,0.25±0.06,1.51±0.21,,1.54±0.94,7.40±2.16,,0.20±0.19,1.27±0.48,0.003±0.001,17.05±3.66,0.10±0.14,140±26.6,239±34.6,40.44±9.89,1.76±0.41,,,,,
,O051,"Pork, lungs",81.12±0.72,15.13±0.52,2.74±0.23,,,358±16,0.08±0.02,0.14±0.02,3.11±0.19,1.79±0.20,0.19±0.02,6.36±0.75,,2.03±0.55,10.30±0.26,0.001±0.001,0.21±0.12,6.76±2.03,,9.82±3.41,0.12±0.11,161±33.4,200±23.0,61.41±20.69,1.18±0.21,,,,,
,O052,"Pork, heart",77.74±0.88,16.31±0.16,4.87±0.84,,,457±32,0.28±0.03,0.30±0.04,5.13±0.18,1.49±0.15,0.30±0.05,4.73±0.80,,1.06±0.24,4.74±0.91,,0.32±0.04,3.97±0.43,0.002±0.001,18.23±1.82,0.27±0.05,187±18.5,268±54.9,70.52±13.46,1.60±0.23,,,,,
,O053,"Pork, liver",74.88±1.23,19.89±1.16,3.94±0.34,,,484±24,0.16±0.02,0.31±0.05,13.76±0.76,7.93±0.20,0.37±0.16,954±88.6,,1.64±0.89,5.52±0.27,0.003±0.003,0.66±0.31,20.74±7.24,0.002±0.001,16.59±1.79,0.92±1.63,310±24.2,279±20.7,64.89±17.55,4.19±1.30,,,,,
,O054,"Pork, stomach",76.51,15.36,7.81,,,550,0.1,0.06,1.9,3.1,0.19,6.87,,5.94,11.75,,0.74,1.92,0.006,23.32,0.16,125,200,109,2.34,,,,,
,O055,"Pork, spleen",80.93±1.08,15.13±0.79,2.71±0.71,,,357±31,0.13±0.02,0.27±0.12,7.80±0.43,4.87±0.34,0.22±0.04,5.92±0.49,,1.83±1.59,6.98±2.93,,0.11±0.01,27.21±6.43,0.799±1.381,16.08±2.24,0.18±0.10,230±28.7,325±35.1,49.14±5.55,2.09±0.29,,,,,
,O056,"Pork, kidneys",80.92±0.87,14.35±1.03,3.65±0.55,,,379±21,0.24±0.14,0.37±0.05,6.46±0.38,2.52±0.27,0.16±0.04,59.61±10.30,,1.80±1.89,6.71±0.55,0.001±0.001,0.53±0.19,6.26±2.55,0.002±0.001,15.56±1.39,1.15±0.43,201±17.8,198±11.5,138±17.5,1.90±0.28,,,,,
,O057,"Pork, tube (small intestine)",75.42,14.96,8.98,,,587,0.08,0.1,0.9,3.02,0.19,7.84,,2.48,16.05,,0.11,2.83,0.007,9.78,0.16,124,140,60.17,1.36,,,,,
,O058,"Hare, shoulder",71.06,21.13,6.58,,,603,0.07,0.27,5.04,0.7,0.28,2.2,,,57.51,,0.43,2.98,0.002,28,,260,303,55.03,2.72,,,,,
,O059,"Hare, chops",75.47,20.62,2.55,,,445,0.07,0.28,4.85,0.61,0.22,3.85,,,38.36,,0.19,2.78,0.001,31,,295,340,48.61,1.45,,,,,
,O060,"Hare, leg",73,20.52,4.16,,,503,0.08,0.22,5.63,0.64,0.24,1.95,,,53.02,,0.25,2.46,0.002,32,,275,370,42.48,1.62,,,,,
,O061,"Rabbit, shoulder",70.75,20.01,7.96,,,635,0.03,0.14,4.38,0.69,0.3,1.8,,,46.37,,0.64,1.74,0.003,32,,238,361,61.38,2.34,,,,,
,O062,"Rabbit, chops",71.03,22.61,4.88,,,565,0.02,0.08,7.54,0.73,0.24,2.1,,,25.48,,0.08,2.42,0.002,33,,245,374,47.84,1.3,,,,,
,O063,"Rabbit, leg",70.33,21.31,5.99,,,584,0.03,0.1,5.02,0.7,0.26,1.8,,,22.31,,0.18,1.21,0.003,21,,245,389,46.03,1.23,,,,,
P MARINE FISH,P001,Allathi (Elops machnata),75.91,21.77,0.98,,,406,0.08,0.04,3.67,0.72,194,1230,,,13.78,,0.03,0.62,,29.08,,215,286,32.68,0.3,,,,,
,P002,Aluva (Parastromateus niger),75.71±0.06,21.63±0.28,1.80±0.51,,,434±17,0.05±0.01,0.02±0.00,2.35±0.50,0.74±0.12,158±8.5,1132±159,,,11.32±2.07,0.001±0.000,0.04±0.01,0.42±0.02,0.004±0.002,34.38±1.63,,245±13.9,470±61.3,44.86±6.80,0.38±0.02,,,,,
,P003,Anchovy (Stolephorus indicus),77.77,19.88,0.78,,,367,0.03,0.04,0.91,1.21,61.25,1170,,,36.6,,0.04,0.54,,53,,246,270,212,0.65,,,,,
,P004,Ari fish (Aprion virescens ),77.09,22.01,1.11,,,415,0.06,0.03,3.65,0.23,218,602,,,4.36,,0.02,0.47,,30.27,,265,447,37.35,0.31,,,,,
,P005,Betki (Lates calcarifer),82.52,15.28,0.29,,,284,0.01,0.04,1.54,0.4,85,2079,,0.27,8.84,,0.79,0.31,0.002,24.16,5.87,188,355,63.68,0.36,,,,,
,P006,Black snapper (Macolor niger),78.09,19.5,1.24,,,377,0.02,,2.89,0.54,106,1772,,0.08,9.91,,0.02,0.56,,26.72,6.88,195,341,41.23,0.4,,,,,
,P007,Bombay duck (Harpadon nehereus),83.24,13.53,1.03,,,287,0.03,0.02,0.64,1.48,98,2784,,7.68,159,0.001,0.03,0.81,0.003,24.27,0.9,185,188,223,0.42,,,,,
,P008,Bommuralu (Muraenesox cinerius),76.42±0.05,22.30±0.27,2.87±0.29,,,485±14,0.05±0.02,0.02±0.00,1.34±1.09,0.64±0.08,68.63±18.97,1004±91,,,47.33±16.91,0.001±0.000,0.14±0.21,0.43±0.10,,27.13±4.91,,207±29.5,349±27.7,61.87±2.43,0.67±0.21,,,,,
,P009,Cat fish (Tachysurus thalassinus),76.22,22.18,2.13,,,456,0.05,0.05,1.38,1.24,223,1136,,,5.54,,0.03,0.72,,25.69,,252,429,35.82,0.58,,,,,
